id,verdict,self_rate,frames,dominant,self_is_dom,saw
0,GOOD,1.00,40,0,1,0x40
1,GOOD,0.82,38,1,1,1x31;0x7
2,WRONGLOCK,0.05,22,6,0,6x11;2x8;15x2
3,WRONGLOCK,0.00,1,5,0,5x1
4,FAIL,0.00,14,4,1,4x10;3x3;8x1
5,GOOD,0.97,40,5,1,5x40
6,MARGINAL,0.15,39,6,1,6x30;5x9
7,GOOD,0.67,24,7,1,7x24
8,MARGINAL,0.22,27,8,1,8x22;15x3;78x2
9,GOOD,1.00,34,9,1,9x34
10,WRONGLOCK,0.00,31,13,0,13x31
11,MARGINAL,0.17,23,11,1,11x14;13x5;77x4
12,GOOD,1.00,40,12,1,12x40
13,GOOD,0.75,40,13,1,13x40
14,FAIL,0.00,37,14,1,14x25;15x11;62x1
15,GOOD,1.00,40,15,1,15x40
16,MARGINAL,0.13,23,16,1,16x22;15x1
17,MARGINAL,0.13,15,89,0,89x5;1x4;17x2
18,FAIL,0.00,23,89,0,89x10;118x4;127x3
19,WRONGLOCK,0.00,49,127,0,127x49
20,FAIL,0.00,23,34,0,34x7;120x4;80x4
21,FAIL,0.02,42,21,1,21x31;93x11
22,GOOD,0.48,33,22,1,22x24;60x4;52x2
23,FAIL,0.09,33,23,1,23x30;87x1;39x1
24,FAIL,0.00,22,24,1,24x18;116x2;21x1
25,WRONGLOCK,0.00,33,73,0,73x33
26,FAIL,0.00,23,100,0,100x7;118x5;124x3
27,FAIL,0.05,20,27,1,27x18;120x2
28,WRONGLOCK,0.00,49,27,0,27x49
29,WRONGLOCK,0.00,43,28,0,28x26;27x13;127x2
30,WRONGLOCK,0.00,49,127,0,127x49
31,WRONGLOCK,0.00,46,127,0,127x32;31x14
32,GOOD,0.79,47,32,1,32x45;80x2
33,WRONGLOCK,0.00,49,32,0,32x49
34,WRONGLOCK,0.00,49,32,0,32x49
