# HR Omni-Tag ID table (DC34-155 A3-D13, SECDED(12,7))
# Fixed cells: anchors (0,0)(0,3)(3,0)=NEAR(bump); guard (3,3)=FAR(flat/recessed).
# 12 settable data cells, row-major order: [(0, 1), (0, 2), (1, 0), (1, 1), (1, 2), (1, 3), (2, 0), (2, 1), (2, 2), (2, 3), (3, 1), (3, 2)]
# Columns: ID | 12-bit data pattern (1=bump/near, 0=flat/far, in cell order above) | full 4x4 grid rows
  1 | 111000000001 | 1111/1000/0000/1010
  2 | 100110000001 | 1101/0110/0000/1010
  3 | 011110000000 | 1011/1110/0000/1000
  4 | 010101000001 | 1011/0101/0000/1010
  5 | 101101000000 | 1101/1101/0000/1000
  6 | 110011000000 | 1111/0011/0000/1000
  7 | 001011000001 | 1001/1011/0000/1010
  8 | 110100100000 | 1111/0100/1000/1000
  9 | 001100100001 | 1001/1100/1000/1010
 10 | 010010100001 | 1011/0010/1000/1010
 12 | 100001100001 | 1101/0001/1000/1010
 13 | 011001100000 | 1011/1001/1000/1000
 14 | 000111100000 | 1001/0111/1000/1000
 15 | 111111100001 | 1111/1111/1000/1010
 16 | 100000011001 | 1101/0000/0110/1010
 17 | 011000011000 | 1011/1000/0110/1000
 18 | 000110011000 | 1001/0110/0110/1000
 19 | 111110011001 | 1111/1110/0110/1010
 20 | 110101011000 | 1111/0101/0110/1000
 21 | 001101011001 | 1001/1101/0110/1010
 22 | 010011011001 | 1011/0011/0110/1010
 23 | 101011011000 | 1101/1011/0110/1000
 24 | 010100111001 | 1011/0100/1110/1010
 25 | 101100111000 | 1101/1100/1110/1000
 26 | 110010111000 | 1111/0010/1110/1000
 27 | 001010111001 | 1001/1010/1110/1010
 28 | 000001111000 | 1001/0001/1110/1000
 29 | 111001111001 | 1111/1001/1110/1010
 30 | 100111111001 | 1101/0111/1110/1010
 31 | 011111111000 | 1011/1111/1110/1000
 32 | 010000010101 | 1011/0000/0101/1010
 33 | 101000010100 | 1101/1000/0101/1000
 34 | 110110010100 | 1111/0110/0101/1000
 35 | 001110010101 | 1001/1110/0101/1010
 36 | 000101010100 | 1001/0101/0101/1000
 37 | 111101010101 | 1111/1101/0101/1010
 38 | 100011010101 | 1101/0011/0101/1010
 39 | 011011010100 | 1011/1011/0101/1000
 40 | 100100110101 | 1101/0100/1101/1010
 41 | 011100110100 | 1011/1100/1101/1000
 42 | 000010110100 | 1001/0010/1101/1000
 43 | 111010110101 | 1111/1010/1101/1010
 44 | 110001110100 | 1111/0001/1101/1000
 45 | 001001110101 | 1001/1001/1101/1010
 46 | 010111110101 | 1011/0111/1101/1010
 47 | 101111110100 | 1101/1111/1101/1000
 48 | 110000001100 | 1111/0000/0011/1000
 49 | 001000001101 | 1001/1000/0011/1010
 50 | 010110001101 | 1011/0110/0011/1010
 51 | 101110001100 | 1101/1110/0011/1000
 52 | 100101001101 | 1101/0101/0011/1010
 53 | 011101001100 | 1011/1101/0011/1000
 54 | 000011001100 | 1001/0011/0011/1000
 55 | 111011001101 | 1111/1011/0011/1010
 56 | 000100101100 | 1001/0100/1011/1000
 57 | 111100101101 | 1111/1100/1011/1010
 58 | 100010101101 | 1101/0010/1011/1010
 60 | 010001101101 | 1011/0001/1011/1010
 61 | 101001101100 | 1101/1001/1011/1000
 62 | 110111101100 | 1111/0111/1011/1000
 63 | 001111101101 | 1001/1111/1011/1010
 64 | 110000010010 | 1111/0000/0100/1100
 65 | 001000010011 | 1001/1000/0100/1110
 66 | 010110010011 | 1011/0110/0100/1110
 67 | 101110010010 | 1101/1110/0100/1100
 68 | 100101010011 | 1101/0101/0100/1110
 69 | 011101010010 | 1011/1101/0100/1100
 70 | 000011010010 | 1001/0011/0100/1100
 71 | 111011010011 | 1111/1011/0100/1110
 72 | 000100110010 | 1001/0100/1100/1100
 73 | 111100110011 | 1111/1100/1100/1110
 74 | 100010110011 | 1101/0010/1100/1110
 75 | 011010110010 | 1011/1010/1100/1100
 76 | 010001110011 | 1011/0001/1100/1110
 77 | 101001110010 | 1101/1001/1100/1100
 78 | 110111110010 | 1111/0111/1100/1100
 79 | 001111110011 | 1001/1111/1100/1110
 80 | 010000001011 | 1011/0000/0010/1110
 81 | 101000001010 | 1101/1000/0010/1100
 83 | 001110001011 | 1001/1110/0010/1110
 84 | 000101001010 | 1001/0101/0010/1100
 85 | 111101001011 | 1111/1101/0010/1110
 86 | 100011001011 | 1101/0011/0010/1110
 87 | 011011001010 | 1011/1011/0010/1100
 88 | 100100101011 | 1101/0100/1010/1110
 89 | 011100101010 | 1011/1100/1010/1100
 90 | 000010101010 | 1001/0010/1010/1100
 92 | 110001101010 | 1111/0001/1010/1100
 93 | 001001101011 | 1001/1001/1010/1110
 95 | 101111101010 | 1101/1111/1010/1100
 96 | 100000000111 | 1101/0000/0001/1110
 97 | 011000000110 | 1011/1000/0001/1100
 98 | 000110000110 | 1001/0110/0001/1100
 99 | 111110000111 | 1111/1110/0001/1110
100 | 110101000110 | 1111/0101/0001/1100
124 | 100001111111 | 1101/0001/1111/1110   # Han Solo Blaster (reassigned 82->124, Jul 4; 125 rejected-aliased)
