id,name,outcome,locked_id,locked_name,time_to_lock_s,lock_dist_mm,clean_frames,frames,saw
85,KARR CPU Fragment,LOCK,85,KARR CPU Fragment,3.9,82,2,14,1x5;80x4;85x4
38,Professor Oak's Research Notes,LOCK,38,Professor Oak's Research Notes,1.4,74,9,9,38x9
16,Gandalf's 'You Shall Not Pass' Sign,LOCK,16,Gandalf's 'You Shall Not Pass' Sign,3.8,80,4,13,96x8;16x5
47,Napoleon's Waterloo Ice Cream Receipt,LOCK,47,Napoleon's Waterloo Ice Cream Receipt,6.4,82,12,16,47x15;78x1
1,Cake (It's Not a Lie This Time),LOCK,1,Cake (It's Not a Lie This Time),5.0,78,3,7,1x4;39x2;13x1
2,Companion Cube Remains,LOCK,2,Companion Cube Remains,1.8,76,6,6,2x6
3,The Eye of Jupiter,LOCK,3,The Eye of Jupiter,10.2,73,0,11,3x7;1x3;6x1
4,Admiral Adama's Gravel Voice,LOCK,4,Admiral Adama's Gravel Voice,3.3,83,4,14,4x14
5,The Blue Pill,LOCK,5,The Blue Pill,4.7,79,6,7,5x7
6,Spoon (There Is No),LOCK,6,Spoon (There Is No),3.3,73,11,13,6x13
7,Master Chief's Helmet (Cracked Visor),LOCK,7,Master Chief's Helmet (Cracked Visor),1.5,77,10,10,7x10
8,Warthog Hood Ornament,LOCK,8,Warthog Hood Ornament,1.5,72,3,10,8x10
9,ODST Drop Pod Stress Ball,LOCK,9,ODST Drop Pod Stress Ball,2.1,96,8,8,9x8
10,T-800 Endoskeleton Thumb,TIMEOUT,-1,,,83,1,30,10x24;0x6
12,Cyberdyne Systems Employee Badge,LOCK,12,Cyberdyne Systems Employee Badge,3.1,74,8,9,12x8;0x1
13,Skynet's First Thought,LOCK,13,Skynet's First Thought,3.1,98,4,13,13x13
14,Hasta La Vista Baby Button,LOCK,14,Hasta La Vista Baby Button,2.1,80,0,10,14x10
15,The One Ring (Replica),LOCK,15,The One Ring (Replica),1.5,84,10,10,15x10
16,Gandalf's 'You Shall Not Pass' Sign,LOCK,16,Gandalf's 'You Shall Not Pass' Sign,2.9,96,1,3,16x3
17,"Sting (Glows Blue Near Orcs, Orange Near Lawyers)",TIMEOUT,-1,,,84,45,48,17x46;65x2
18,Redshirt (Lightly Used),WRONG,17,"Sting (Glows Blue Near Orcs, Orange Near Lawyers)",8.5,88,0,13,17x5;1x4;73x1
19,Tribble (Pregnant),LOCK,19,Tribble (Pregnant),25.8,80,1,31,127x11;54x8;55x6
20,Universal Translator (Slightly Off),LOCK,20,Universal Translator (Slightly Off),2.9,81,1,3,20x3
21,Mjolnir (You're Not Worthy),LOCK,21,Mjolnir (You're Not Worthy),5.4,87,0,3,21x2;79x1
22,Deadpool's Fourth Wall Note,LOCK,22,Deadpool's Fourth Wall Note,1.6,86,9,9,22x9
